================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   v   r   c   t   s   r 
 in 1e-09 sec | l   g   s   n   i   t   e 
              | k   a   t   t   m   a   a 
              |     _       _   e   r   d 
              |     c       r       t   y 
              |     l       s             
              |     k       t             
================================================================================
      35670.0 | 0   1   0   0   1   0   0
      35752.0 | 1   1   0   0   1   0   0
      35834.0 | 0   1   0   0   1   0   0
      35916.0 | 1   1   0   0   1   0   0
      35998.0 | 0   1   0   0   1   0   0
      36000.0 | 0   0   0   0   1   0   0
      36080.0 | 1   0   0   0   1   0   0
      36162.0 | 0   0   0   0   1   0   0
      36244.0 | 1   0   0   0   1   0   0
      36326.0 | 0   0   0   0   1   0   0
      36408.0 | 1   0   0   0   1   0   0
      36490.0 | 0   0   0   0   1   0   0
      36572.0 | 1   0   0   0   1   0   0
      36654.0 | 0   0   0   0   1   0   0
      36736.0 | 1   0   0   0   1   0   0
      36800.0 | 1   1   0   0   1   0   0
      36818.0 | 0   1   0   0   1   0   0
      36900.0 | 1   1   0   0   1   0   0
      36982.0 | 0   1   0   0   1   0   0
      37064.0 | 1   1   0   0   1   0   0
      37146.0 | 0   1   0   0   1   0   0
      37228.0 | 1   1   0   0   1   0   0
      37310.0 | 0   1   0   0   1   0   0
      37392.0 | 1   1   0   0   1   0   0
      37474.0 | 0   1   0   0   1   0   0
      37556.0 | 1   1   0   0   1   0   0
      37600.0 | 1   0   0   0   1   0   0
      37638.0 | 0   0   0   0   1   0   0
      37720.0 | 1   0   0   0   1   0   0
      37802.0 | 0   0   0   0   1   0   0
      37884.0 | 1   0   0   0   1   0   0
      37966.0 | 0   0   0   0   1   0   0
      38048.0 | 1   0   0   0   1   0   0
      38130.0 | 0   0   0   0   1   0   0
      38212.0 | 1   0   0   0   1   0   0
      38294.0 | 0   0   0   0   1   0   0
      38376.0 | 1   0   0   0   1   0   0
      38400.0 | 1   1   0   0   1   0   0
      38458.0 | 0   1   0   0   1   0   0
      38540.0 | 1   1   0   0   1   0   0
      38622.0 | 0   1   0   0   1   0   0
      38704.0 | 1   1   0   0   1   0   0
      38786.0 | 0   1   0   0   1   0   0
      38868.0 | 1   1   0   0   1   0   0
      38950.0 | 0   1   0   0   1   0   0
      39032.0 | 1   1   0   0   1   0   0
      39114.0 | 0   1   0   0   1   0   0
      39196.0 | 1   1   0   0   1   0   0
      39200.0 | 1   0   0   0   1   0   0
      39278.0 | 0   0   0   0   1   0   0
      39360.0 | 1   0   0   0   1   0   0
      39442.0 | 0   0   0   0   1   0   0
      39524.0 | 1   0   0   0   1   0   0
      39606.0 | 0   0   0   0   1   0   0
      39688.0 | 1   0   0   0   1   0   0
      39770.0 | 0   0   0   0   1   0   0
      39852.0 | 1   0   0   0   1   0   0
      39934.0 | 0   0   0   0   1   0   0
      40000.0 | 0   1   0   0   1   0   0
      40016.0 | 1   1   0   0   1   0   0
      40098.0 | 0   1   0   0   1   0   0
      40180.0 | 1   1   0   0   1   0   0
      40262.0 | 0   1   0   0   1   0   0
      40344.0 | 1   1   0   0   1   0   0
      40426.0 | 0   1   0   0   1   0   0
      40508.0 | 1   1   0   0   1   0   0
      40590.0 | 0   1   0   0   1   0   0
      40672.0 | 1   1   0   0   1   0   0
      40754.0 | 0   1   0   0   1   0   0
      40800.0 | 0   0   0   0   1   0   0
      40836.0 | 1   0   0   0   1   0   0
      40918.0 | 0   0   0   0   1   0   0
      41000.0 | 1   0   0   0   1   0   0
      41082.0 | 0   0   0   0   1   0   0
      41164.0 | 1   0   0   0   1   0   0
      41246.0 | 0   0   0   0   1   0   0
      41328.0 | 1   0   0   0   1   0   0
      41410.0 | 0   0   0   0   1   0   0
      41492.0 | 1   0   0   0   1   0   0
      41574.0 | 0   0   0   0   1   0   0
      41600.0 | 0   1   0   0   1   0   0
      41656.0 | 1   1   0   0   1   0   0
      41738.0 | 0   1   0   0   1   0   0
      41820.0 | 1   1   0   0   1   0   0
      41902.0 | 0   1   0   0   1   0   0
      41984.0 | 1   1   0   0   1   0   0
      42066.0 | 0   1   0   0   1   0   0
      42148.0 | 1   1   0   0   1   0   0
      42230.0 | 0   1   0   0   1   0   0
      42312.0 | 1   1   0   0   1   0   0
      42394.0 | 0   1   0   0   1   0   0
      42400.0 | 0   0   0   0   1   0   0
      42476.0 | 1   0   0   0   1   0   0
      42558.0 | 0   0   0   0   1   0   0
      42640.0 | 1   0   0   0   1   0   0
      42722.0 | 0   0   0   0   1   0   0
      42804.0 | 1   0   0   0   1   0   0
      42886.0 | 0   0   0   0   1   0   0
      42968.0 | 1   0   0   0   1   0   0
      43050.0 | 0   0   0   0   1   0   0
      43132.0 | 1   0   0   0   1   0   0
      43200.0 | 1   1   0   0   1   0   0
      43214.0 | 0   1   0   0   1   0   0
      43296.0 | 1   1   0   0   1   0   0
      43378.0 | 0   1   0   0   1   0   0
      43460.0 | 1   1   0   0   1   0   0
