================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | r   c   d   d   d   d   d   d   v   v   v   v   v   v 
 in 1e-09 sec | s   l   b   b   b   b   b   b   g   g   g   g   g   g 
              | t   k   g   g   g   g   g   g   a   a   a   a   a   a 
              |         _   _   _   _   _   _   _   _   _   _   _   _ 
              |         i   i   i   i   i   i   h   v   c   r   g   b 
              |         n   n   n   n   n   n   s   s   l             
              |         p   p   p   p   p   p   y   y   k             
              |         u   u   u   u   u   u   n   n                 
              |         t   t   t   t   t   t   c   c                 
              |         s   s   s   s   s   s                         
              |         _   _   _   _   _   _                         
              |         5   5   5   5   5   5                         
              |         _   _   _   _   _   _                         
              |         0   0   0   0   0   0                         
              |         _   _   _   _   _   _                         
              |         5   4   3   2   1   0                         
================================================================================
      12080.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      12160.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      12240.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      12320.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      12400.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      12480.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      12560.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      12640.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      12720.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      12800.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      12880.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      12960.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      13040.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      13120.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      13200.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      13280.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      13360.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      13440.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      13520.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      13600.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      13680.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      13760.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      13840.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      13920.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      14000.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      14080.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      14160.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      14240.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      14320.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      14400.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      14480.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      14560.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      14640.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      14720.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      14800.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      14880.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      14960.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      15040.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      15120.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      15200.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      15280.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      15360.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      15440.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      15520.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      15600.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      15680.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      15760.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      15840.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      15920.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      16000.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      16080.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      16160.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      16240.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      16320.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      16400.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      16480.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      16560.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      16640.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      16720.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      16800.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      16880.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      16960.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      17040.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      17120.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      17200.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      17280.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      17360.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      17440.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      17520.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      17600.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      17680.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      17760.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      17840.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      17920.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      18000.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      18080.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      18160.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      18240.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      18320.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      18400.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      18480.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      18560.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      18640.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      18720.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      18800.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      18880.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      18960.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      19040.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      19120.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      19200.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      19280.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      19360.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      19440.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      19520.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      19600.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      19680.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      19760.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      19840.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      19920.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      20000.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      20080.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      20160.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      20240.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      20320.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      20400.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      20480.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      20560.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      20640.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      20720.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      20800.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      20880.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      20960.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      21040.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      21120.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      21200.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      21280.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      21360.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      21440.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      21520.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      21600.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      21680.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      21760.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      21840.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      21920.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      22000.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      22080.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      22160.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      22240.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      22320.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      22400.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      22480.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      22560.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      22640.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      22720.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      22800.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      22880.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
