====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   d   d   d   w   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a 
 in 1e-09 sec | l   s   i   o   o   e   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d 
              | k   t       1   2       d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d 
              |                         r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r 
      10240.9 | 1   0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      10320.0 | 0   0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      10340.0 | 0   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      10400.0 | 1   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      10480.0 | 0   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      10500.0 | 0   1   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      10500.7 | 0   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      10560.0 | 1   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      10640.0 | 0   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      10720.0 | 1   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      10800.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      10880.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      10960.0 | 0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      11040.0 | 1   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      11120.0 | 0   0   0   0   0   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      11200.0 | 1   0   0   0   0   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      11280.0 | 0   0   1   0   0   1   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      11360.0 | 1   0   1   0   0   1   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      11440.0 | 0   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      11520.0 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      11520.9 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
