================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   b   n   o   o   o 
 in 1e-09 sec | l   s   u   e   u   u   u 
              | k   t   t   w   t   t   t 
              |         t   _   p   p   p 
              |         o   n   u   u   u 
              |         n   u   t   t   t 
              |         _   m   _   _   _ 
              |         s   b   2   2   2 
              |         e   e   _   _   _ 
              |         e   r   0   0   0 
              |         d       _   _   _ 
              |                 2   1   0 
================================================================================
      19353.1 | 1   0   0   0   0   1   1
      19434.0 | 0   0   0   0   0   1   1
      19516.0 | 1   0   0   0   0   1   1
      19517.0 | 1   0   0   0   0   0   1
      19517.1 | 1   0   0   0   1   0   1
      19598.0 | 0   0   0   0   1   0   1
      19680.0 | 1   0   0   0   1   0   1
      19680.8 | 1   0   0   0   0   0   0
      19681.4 | 1   0   0   0   0   1   0
      19762.0 | 0   0   0   0   0   1   0
      19844.0 | 1   0   0   0   0   1   0
      19845.0 | 1   0   0   0   0   0   0
      19845.1 | 1   0   0   0   0   0   1
      19926.0 | 0   0   0   0   0   0   1
      20008.0 | 1   0   0   0   0   0   1
      20008.8 | 1   0   0   0   0   0   0
      20090.0 | 0   0   0   0   0   0   0
      20172.0 | 1   0   0   0   0   0   0
      20173.1 | 1   0   0   0   1   0   0
      20254.0 | 0   0   0   0   1   0   0
      20336.0 | 1   0   0   0   1   0   0
      20337.4 | 1   0   0   0   1   1   0
      20418.0 | 0   0   0   0   1   1   0
      20500.0 | 1   0   0   0   1   1   0
      20500.8 | 1   0   0   0   0   1   0
      20501.1 | 1   0   0   0   0   1   1
      20582.0 | 0   0   0   0   0   1   1
      20664.0 | 1   0   0   0   0   1   1
      20665.0 | 1   0   0   0   0   0   1
      20665.1 | 1   0   0   0   1   0   1
      20746.0 | 0   0   0   0   1   0   1
      20828.0 | 1   0   0   0   1   0   1
      20828.8 | 1   0   0   0   0   0   0
      20829.4 | 1   0   0   0   0   1   0
      20910.0 | 0   0   0   0   0   1   0
      20991.9 | 0   0   0   0   0   1   0
================================================================================
  network : Npg                                                    nodes : 113  
================================================================================
