================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   s   r   r   r   r   r   r   r   r   r   r   r   s   r 
 in 1e-09 sec | l   e   t   a   a   a   a   a   a   a   a   a   a   a   c   e 
              | k   s   a   m   m   m   m   m   m   m   m   m   m   m   o   a 
              |     e   r   _   _   _   _   _   _   _   _   _   _   _   r   d 
              |     t   t   i   o   a   a   a   a   a   a   a   a   w   e   y 
              |             n   u   d   d   d   d   d   d   d   d   r         
              |                 t   d   d   d   d   d   d   d   d   i         
              |                     r   r   r   r   r   r   r   r   t         
              |                     _   _   _   _   _   _   _   _   e         
      26885.8 | 1   0   1   1   1   0   0   0   0   1   0   0   1   0   0   0
      27040.0 | 0   0   1   1   1   0   0   0   0   1   0   0   1   0   0   0
      27200.0 | 1   0   1   1   1   0   0   0   0   1   0   0   1   0   0   0
      27203.1 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      27206.1 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      27360.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      27520.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      27522.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      27680.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      27840.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      28000.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      28160.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      28165.2 | 1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0
      28165.7 | 1   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0
      28320.0 | 0   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0
      28480.0 | 1   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0
      28483.1 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      28486.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      28640.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      28800.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      28802.2 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      28960.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      29120.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      29280.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      29440.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      29445.2 | 1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0
      29445.7 | 1   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0
      29445.8 | 1   0   1   1   1   0   0   0   0   1   0   0   1   0   0   0
      29600.0 | 0   0   1   1   1   0   0   0   0   1   0   0   1   0   0   0
      29760.0 | 1   0   1   1   1   0   0   0   0   1   0   0   1   0   0   0
      29763.1 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      29766.1 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      29920.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      30080.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      30082.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      30240.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      30400.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      30560.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      30720.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      30725.2 | 1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0
